ID,data,categoria,prodotto,quantita,prezzo_unitario,importo,cliente_id,regione
1,2024-01-15,Elettronica,Laptop,2,899.99,1799.98,101,Nord
2,2024-01-16,Elettronica,Mouse,5,25.50,127.50,102,Sud
3,2024-01-17,Abbigliamento,Giacca,1,120.00,120.00,103,Centro
4,2024-01-18,Elettronica,Tastiera,3,45.99,137.97,101,Nord
5,2024-01-19,Casa,Lampada,2,35.00,70.00,104,Nord
6,2024-01-20,Elettronica,Monitor,1,299.99,299.99,105,Sud
7,2024-01-21,Abbigliamento,Scarpe,2,89.99,179.98,102,Sud
8,2024-01-22,Casa,Cuscino,4,15.50,62.00,106,Centro
9,2024-01-23,Elettronica,Cuffie,3,79.99,239.97,103,Centro
10,2024-01-24,Abbigliamento,Maglietta,5,25.00,125.00,107,Nord
11,2024-01-25,Elettronica,Tablet,1,399.99,399.99,108,Sud
12,2024-01-26,Casa,Tappeto,1,150.00,150.00,104,Nord
13,2024-01-27,Elettronica,Webcam,2,65.00,130.00,109,Centro
14,2024-01-28,Abbigliamento,Pantaloni,3,55.00,165.00,105,Sud
15,2024-01-29,Casa,Vaso,6,12.50,75.00,110,Nord
16,2024-01-30,Elettronica,Smartphone,1,699.99,699.99,106,Centro
17,2024-01-31,Abbigliamento,Cappello,4,30.00,120.00,111,Sud
18,2024-02-01,Casa,Specchio,1,45.00,45.00,107,Nord
19,2024-02-02,Elettronica,Stampante,1,199.99,199.99,112,Centro
20,2024-02-03,Abbigliamento,Cintura,2,20.00,40.00,108,Sud
21,2024-02-04,Elettronica,Router,1,89.99,89.99,113,Nord
22,2024-02-05,Casa,Coperta,3,40.00,120.00,109,Centro
23,2024-02-06,Elettronica,SSD,2,120.00,240.00,114,Sud
24,2024-02-07,Abbigliamento,Gonna,1,65.00,65.00,110,Nord
25,2024-02-08,Casa,Quadro,2,85.00,170.00,115,Centro
26,2024-02-09,Elettronica,Microfono,1,150.00,150.00,111,Sud
27,2024-02-10,Abbigliamento,Sciarpa,3,25.00,75.00,116,Nord
28,2024-02-11,Casa,Orologio,1,95.00,95.00,112,Centro
29,2024-02-12,Elettronica,Altoparlante,2,120.00,240.00,117,Sud
30,2024-02-13,Abbigliamento,Guanti,4,15.00,60.00,113,Nord
